property_id,list_price
8679639497,210000.0
7330876390,199900.0
8058474720,664000.0
7944667373,214900.0
8484777962,119900.0
7876965214,419995.0
7182596337,249000.0
7805589561,39900.0
7181338158,23000.0
9544301506,274900.0
8046729252,109000.0
8406627277,205000.0
9177120566,869900.0
8746951236,345500.0
7654476164,69900.0
9945354809,246990.0
8993791393,925000.0
7391448067,184900.0
8294384888,425000.0
7673439454,399000.0
7824490730,269500.0
9313453159,599900.0
8672854528,419900.0
7125077318,280000.0
7655402738,250000.0
9461387393,227258.0
7364642543,189900.0
7061203582,269000.0
7893122186,307000.0
7844841971,189900.0
8452937900,215500.0
7151407892,70500.0
9152110018,207990.0
7817245090,469000.0
9608196387,198360.0
8633547824,218000.0
8090069543,210000.0
7855507766,138000.0
7807112390,1295000.0
7476199044,139500.0
8569840642,89000.0
8596803605,182500.0
8724084865,75000.0
8704169660,237900.0
7648218635,144995.0
7167520168,344000.0
8599011710,259900.0
7762954389,199990.0
8697386341,165000.0
7251156928,1598000.0
8853313311,379000.0
8081803291,239000.0
8143555617,420000.0
7097721057,65000.0
7340262332,529000.0
8996945700,173000.0
7336349408,298900.0
7227263161,275000.0
7510047282,139000.0
8172896569,609000.0
7598616841,190000.0
8233402551,950000.0
8035275309,849000.0
8551472290,434000.0
8625925886,210000.0
8333754690,205000.0
8629887538,469900.0
8850955836,364900.0
7243499554,539000.0
7385370570,75000.0
8570223541,315000.0
9292003291,244990.0
7709284766,380000.0
8531519361,109900.0
8423466317,43000.0
8379313268,1435000.0
8408490973,249900.0
7011842046,525000.0
8710203868,170000.0
8252018525,217000.0
7010133590,142500.0
8691674471,335000.0
8352682792,357000.0
7147207815,219900.0
7736676610,999900.0
8323025247,227500.0
8081694765,485000.0
7076289992,369000.0
8965359131,125000.0
8045536742,159900.0
8389212222,238000.0
8594770151,135000.0
8874175941,469900.0
8150933051,795000.0
7353830284,210000.0
7054897844,269000.0
9642366290,89000.0
8858298143,175000.0
8270760726,449900.0
8251098036,689000.0
9075406237,248370.0
7300845544,333900.0
7758835325,214000.0
8853365098,149500.0
8380972289,35000.0
7029288804,100000.0
7747392754,285000.0
8856001228,100000.0
8630956878,168000.0
9932890893,359990.0
9141718101,189950.0
7183332207,289000.0
9003507430,249005.0
8829557787,79600.0
7432592817,189900.0
8936608990,196500.0
7683248621,229500.0
8638751206,239900.0
8350163077,129000.0
7833261129,267500.0
7716719735,215000.0
7884540012,279000.0
7067759240,159900.0
8131939344,110000.0
7097270717,149900.0
8025229952,194500.0
9313292788,234326.0
7205228195,340995.0
8160608776,1350000.0
8830277793,591500.0
